TF
Wmin	Wmax	X	Y	A		B		F		
6500	6800	-136	256	7039.030	0.457369	25469.97
7200	7600	-160	272	6699.000	0.415714	24272.71

LR
Wmin	Wmax	X	Y	A		B		F		
4500	5100	42	-4	4778.959	0.2563284	22795.92
6500	6600	-45	85	6647.712	0.2907861	24191.40
6600	6700	-65	98	6649.732	0.2827171	24169.32
6700	6900	-87	112	6656.855	0.2677551	24087.68
8200	8700	-80	105	8283.733	0.3433082	24400.32

MR
Wmin	Wmax	X	Y	A		B		F		Woff
4500	5100	-660	-40	4988.301	0.0988712	22149.6	-0.52
6500	6600	-815	25	6685.021	0.1171100	22974.72	-1.39
6600	6750	-830	32	6681.281	0.1135100	23334.19	-1.25
6750	6900	-850	45	6767.922	0.1135100	22828.92	-1.22

HR
Wmin	Wmax	X	Y	A		B		F		Woff
4846	4922	-170	10	4884.445	0.0192411	21925.76	-0.70
4918	4996	-170	10	4957.103	0.0196521	21885.48	-0.75
6507	6609	-350	65	6557.890	0.0256097	22067.76	-2.08
6587	6690	-340	105	6638.560	0.0258417	22043.56	-2.11
6669	6773	-365	125	6720.991	0.0261278	22067.76	-2.04

